created,outcome,resolved
2026-07-09,done,2026-09-16
2026-07-09,open,
2026-07-09,done,2026-09-16
2026-07-09,done,2026-09-16
2026-07-09,open,
2026-07-09,done,2026-08-14
2026-07-09,done,2026-08-18
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-18
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-25
2026-07-09,done,2026-09-01
2026-07-09,done,2026-08-18
2026-07-09,done,2026-08-18
2026-07-09,done,2026-08-25
2026-07-09,done,2026-08-25
2026-07-09,done,2026-08-25
2026-07-09,done,2026-08-29
2026-07-09,done,2026-08-29
2026-07-09,done,2026-07-09
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-16
2026-07-09,done,2026-08-16
2026-07-09,discarded,2026-08-25
2026-07-09,done,2026-08-29
2026-07-09,done,2026-08-29
2026-07-09,done,2026-08-20
2026-07-09,done,2026-08-29
2026-07-09,open,
2026-07-09,open,
2026-07-09,done,2026-08-17
2026-07-09,open,
2026-07-09,open,
2026-07-09,done,2026-09-16
2026-07-09,open,
2026-07-09,done,2026-07-09
2026-07-09,done,2026-08-17
2026-07-09,done,2026-07-09
2026-07-09,done,2026-08-18
2026-07-09,discarded,2026-08-16
2026-07-09,done,2026-09-01
2026-07-09,done,2026-08-18
2026-07-09,done,2026-08-21
2026-07-09,open,
2026-07-09,done,2026-07-09
2026-07-09,open,
2026-07-09,done,2026-08-16
2026-07-09,discarded,2026-07-09
2026-07-09,done,2026-09-01
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-17
2026-07-09,done,2026-08-17
2026-07-10,done,2026-08-22
2026-08-11,done,2026-09-02
2026-08-11,done,2026-08-12
2026-08-12,open,
2026-08-12,done,2026-08-26
2026-08-12,done,2026-08-19
2026-08-13,done,2026-09-01
2026-08-13,done,2026-08-17
2026-08-13,done,2026-08-17
2026-08-13,done,2026-08-17
2026-08-13,done,2026-08-17
2026-08-13,done,2026-08-18
2026-08-13,done,2026-08-17
2026-08-13,done,2026-08-17
2026-08-14,done,2026-08-17
2026-08-14,done,2026-08-19
2026-08-14,done,2026-08-18
2026-08-14,done,2026-08-16
2026-08-14,done,2026-08-16
2026-08-14,done,2026-08-17
2026-08-16,done,2026-08-19
2026-08-16,done,2026-08-29
2026-08-16,done,2026-08-29
2026-08-16,discarded,2026-08-18
